ClientID,ClientName,GroupName,Hogan User ID,First Name,Last Name,Gender,HPIDate,Valid,Empathy,NotAnxious,NoGuilt,Calmness,EvenTempered,NoSomaticComplaint,Trusting,GoodAttachment,Competitive,SelfConfidence,NoDepression,Leadership,Identity,NoSocialAnxiety,LikesParties,LikesCrowds,ExperienceSeeking,Exhibitionistic,Entertaining,EasyToLiveWith,Sensitive,Caring,LikesPeople,NoHostility,Moralistic,Mastery,Virtuous,NotAutonomous,NotSpontaneous,ImpulseControl,AvoidsTrouble,ScienceAbility,Curiosity,ThrillSeeking,IntellectualGames,GeneratesIdeas,Culture,Education,MathAbility,GoodMemory,Reading,RValidity,RAdjustment,RAmbition,RSociability,RInterpersonalSensitivity,RPrudence,RInquisitive,RLearningApproach,RServiceOrientation,RStressTolerance,RReliability,RClericalPotential,RSalesPotential,RManagerialPotential,PValidity,PAdjustment,PAmbition,PSociability,PInterpersonalSensitivity,PPrudence,PInquisitive,PLearningApproach,PServiceOrientation,PStressTolerance,PReliability,PClericalPotential,PSalesPotential,PManagerialPotential,HDSDate,RExcitable,RSkeptical,RCautious,RReserved,RLeisurely,RBold,RMischievous,RColorful,RImaginative,RDiligent,RDutiful,RUnlikeness,PExcitable,PSkeptical,PCautious,PReserved,PLeisurely,PBold,PMischievous,PColorful,PImaginative,PDiligent,PDutiful,PUnlikeness,MVPIDate,RAesthetic_Lifestyles,RAesthetic_Beliefs,RAesthetic_Occupational_Prferences,RAesthetic_Aversions,RAesthetic_Preferred_Associates,RAffiliation_Lifestyles,RAffiliation_Beliefs,RAffiliation_Occupational_Prferences,RAffiliation_Aversions,RAffiliation_Preferred_Associates,RAltruistic_Lifestyles,RAltruistic_Beliefs,RAltruistic_Occupational_Prferences,RAltruistic_Aversions,RAltruistic_Preferred_Associates,RCommercial_Lifestyles,RCommercial_Beliefs,RCommercial_Occupational_Prferences,RCommercial_Aversions,RCommercial_Preferred_Associates,RHedonistic_Lifestyles,RHedonistic_Beliefs,RHedonistic_Occupational_Prferences,RHedonistic_Aversions,RHedonistic_Preferred_Associates,RPower_Lifestyles,RPower_Beliefs,RPower_Occupational_Prferences,RPower_Aversions,RPower_Preferred_Associates,RRecognition_Lifestyles,RRecognition_Beliefs,RRecognition_Occupational_Prferences,RRecognition_Aversions,RRecognition_Preferred_Associates,RScientific_Lifestyles,RScientific_Beliefs,RScientific_Occupational_Prferences,RScientific_Aversions,RScientific_Preferred_Associates,RSecurity_Lifestyles,RSecurity_Beliefs,RSecurity_Occupational_Prferences,RSecurity_Aversions,RSecurity_Preferred_Associates,RTradition_Lifestyles,RTradition_Beliefs,RTradition_Occupational_Prferences,RTradition_Aversions,RTradition_Preferred_Associates,RAesthetic,RAffiliation,RAltruistic,RCommercial,RHedonistic,RPower,RRecognition,RScientific,RSecurity,RTradition,PAesthetic,PAffiliation,PAltruistic,PCommercial,PHedonistic,PPower,PRecognition,PScientific,PSecurity,PTradition
PERFPRG0011,Performance Programs Resident Select,SomeGroup,HB902581,Alan,Executive,Male,6-Sep-13,14,3,4,6,4,5,3,2,5,5,3,5,6,3,6,3,3,6,2,4,5,4,4,6,1,2,3,5,2,1,4,3,5,3,4,1,4,2,3,2,3,2,14,32,28,18,20,20,19,10,12,22,13,20,53,31,100,78,87,85,60,50,83,69,77,72,59,66,89,51,6-Sep-13,3,4,0,4,5,7,7,8,5,11,9,6,69,58,15,65,72,47,76,67,55,80,72,,6-Sep-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,52,55,49,32,54,39,56,46,50,55,67,77,67,21,81,38,98,72,82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
