ClientID,ClientName,GroupName,Hogan User ID,First Name,Last Name,Gender,HPIDate,Valid,Empathy,NotAnxious,NoGuilt,Calmness,EvenTempered,NoSomaticComplaint,Trusting,GoodAttachment,Competitive,SelfConfidence,NoDepression,Leadership,Identity,NoSocialAnxiety,LikesParties,LikesCrowds,ExperienceSeeking,Exhibitionistic,Entertaining,EasyToLiveWith,Sensitive,Caring,LikesPeople,NoHostility,Moralistic,Mastery,Virtuous,NotAutonomous,NotSpontaneous,ImpulseControl,AvoidsTrouble,ScienceAbility,Curiosity,ThrillSeeking,IntellectualGames,GeneratesIdeas,Culture,Education,MathAbility,GoodMemory,Reading,RValidity,RAdjustment,RAmbition,RSociability,RInterpersonalSensitivity,RPrudence,RInquisitive,RLearningApproach,RServiceOrientation,RStressTolerance,RReliability,RClericalPotential,RSalesPotential,RManagerialPotential,PValidity,PAdjustment,PAmbition,PSociability,PInterpersonalSensitivity,PPrudence,PInquisitive,PLearningApproach,PServiceOrientation,PStressTolerance,PReliability,PClericalPotential,PSalesPotential,PManagerialPotential,HDSDate,RExcitable,RSkeptical,RCautious,RReserved,RLeisurely,RBold,RMischievous,RColorful,RImaginative,RDiligent,RDutiful,RUnlikeness,PExcitable,PSkeptical,PCautious,PReserved,PLeisurely,PBold,PMischievous,PColorful,PImaginative,PDiligent,PDutiful,PUnlikeness,MVPIDate,RAesthetic_Lifestyles,RAesthetic_Beliefs,RAesthetic_Occupational_Prferences,RAesthetic_Aversions,RAesthetic_Preferred_Associates,RAffiliation_Lifestyles,RAffiliation_Beliefs,RAffiliation_Occupational_Prferences,RAffiliation_Aversions,RAffiliation_Preferred_Associates,RAltruistic_Lifestyles,RAltruistic_Beliefs,RAltruistic_Occupational_Prferences,RAltruistic_Aversions,RAltruistic_Preferred_Associates,RCommercial_Lifestyles,RCommercial_Beliefs,RCommercial_Occupational_Prferences,RCommercial_Aversions,RCommercial_Preferred_Associates,RHedonistic_Lifestyles,RHedonistic_Beliefs,RHedonistic_Occupational_Prferences,RHedonistic_Aversions,RHedonistic_Preferred_Associates,RPower_Lifestyles,RPower_Beliefs,RPower_Occupational_Prferences,RPower_Aversions,RPower_Preferred_Associates,RRecognition_Lifestyles,RRecognition_Beliefs,RRecognition_Occupational_Prferences,RRecognition_Aversions,RRecognition_Preferred_Associates,RScientific_Lifestyles,RScientific_Beliefs,RScientific_Occupational_Prferences,RScientific_Aversions,RScientific_Preferred_Associates,RSecurity_Lifestyles,RSecurity_Beliefs,RSecurity_Occupational_Prferences,RSecurity_Aversions,RSecurity_Preferred_Associates,RTradition_Lifestyles,RTradition_Beliefs,RTradition_Occupational_Prferences,RTradition_Aversions,RTradition_Preferred_Associates,RAesthetic,RAffiliation,RAltruistic,RCommercial,RHedonistic,RPower,RRecognition,RScientific,RSecurity,RTradition,PAesthetic,PAffiliation,PAltruistic,PCommercial,PHedonistic,PPower,PRecognition,PScientific,PSecurity,PTradition
PERFPRG0011,Performance Programs Resident Select,100%,HB902581,Alan,Executive,Male,6-Sep-13,14,3,4,6,4,5,3,2,5,5,3,5,6,3,6,3,3,6,2,4,5,4,4,6,1,2,3,5,2,1,4,3,5,3,4,1,4,2,3,2,3,2,14,32,28,18,20,20,19,10,12,22,13,20,53,31,100,78,87,85,60,50,83,69,77,72,59,66,89,51,6-Sep-13,3,4,0,4,5,7,7,8,5,11,9,6,69,58,15,65,72,47,76,67,55,80,72,,6-Sep-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,52,55,49,32,54,39,56,46,50,55,67,77,67,21,81,38,98,72,82
PERFPRG0011,Performance Programs Resident Select,100%,HB902584,Brenda,Executive,Female,9-Sep-13,14,5,4,6,4,5,4,3,4,5,3,6,6,3,5,3,3,5,1,2,5,4,3,6,2,4,4,5,3,4,5,5,4,3,2,2,3,4,3,3,2,2,14,35,28,14,20,30,18,10,14,24,16,22,44,36,100,94,87,59,60,100,76,69,100,93,91,86,56,96,9-Sep-13,1,4,1,4,6,8,2,6,3,12,10,6,33,58,35,65,85,61,11,39,25,93,87,,9-Sep-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,50,54,46,35,53,33,49,47,51,42,48,72,48,34,74,16,83,76,86
PERFPRG0011,Performance Programs Resident Select,100%,HB902589,Chris,Executive,Female,11-Sep-13,13,3,0,6,3,5,5,2,4,5,2,0,6,1,5,2,0,5,2,1,5,4,4,5,3,5,4,5,3,3,3,4,3,3,0,2,4,4,2,1,3,4,13,28,19,10,21,27,16,10,12,14,14,19,38,27,33,55,28,31,83,96,62,69,77,15,71,55,32,24,11-Sep-13,2,5,8,5,10,4,5,6,8,11,11,5,53,72,97,78,100,13,50,39,89,80,96,,11-Sep-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,50,56,28,38,38,37,54,48,46,99,48,84,0,51,7,30,96,82,58
PERFPRG0011,Performance Programs Resident Select,100%,HB902604,Denise,Executive,Female,16-Sep-13,14,4,3,5,4,4,3,3,5,5,3,3,6,1,6,4,2,2,3,3,5,4,4,5,3,4,4,5,3,2,2,4,3,3,2,0,3,3,3,2,0,1,14,31,24,14,21,24,14,6,13,18,14,20,44,29,100,72,55,59,83,82,46,27,92,36,71,66,56,36,16-Sep-13,3,4,4,1,8,8,8,9,6,6,11,6,69,58,80,6,97,61,86,78,69,8,96,,16-Sep-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,59,58,42,47,50,43,46,48,52,60,99,94,26,90,57,57,72,82,90
PERFPRG0011,Performance Programs Resident Select,56%,HB902582,Eric,Executive,Male,16-Sep-13,13,1,1,1,3,1,0,1,4,5,3,2,6,2,2,4,4,6,3,3,4,4,3,5,1,1,4,3,3,1,1,3,5,3,5,3,4,1,3,2,3,3,13,12,20,20,17,16,21,11,8,7,9,13,52,25,33,4,33,93,16,21,91,79,21,2,22,9,86,15,16-Sep-13,9,9,5,8,8,8,9,11,9,11,7,7,99,97,87,97,97,61,93,93,95,80,37,,16-Sep-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,53,52,50,49,53,57,55,44,47,60,73,58,74,94,74,98,97,61,63
PERFPRG0011,Performance Programs Resident Select,56%,HB902585,Francis,Executive,Female,6-Sep-13,14,2,1,3,3,3,0,1,2,5,2,3,6,1,6,1,1,3,2,1,3,3,3,4,0,0,4,2,3,4,4,3,3,3,2,1,2,1,3,3,2,3,14,15,23,8,13,20,12,11,7,10,9,13,32,25,100,8,47,19,3,50,32,79,13,5,22,9,14,15,6-Sep-13,8,12,9,7,5,9,5,5,3,13,6,5,98,100,99,94,72,75,50,27,25,99,22,,6-Sep-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,42,30,47,35,41,36,50,42,42,2,7,0,54,34,13,27,87,51,31
PERFPRG0011,Performance Programs Resident Select,67%,HB902599,George,Executive,Male,15-Sep-13,14,2,1,4,3,3,3,3,3,4,2,4,2,2,4,3,2,4,3,2,5,3,4,6,2,1,3,3,3,4,3,5,3,3,3,2,2,3,3,2,3,0,14,22,18,14,20,22,16,8,8,15,13,15,42,26,100,26,24,59,60,67,62,46,21,19,59,18,48,19,15-Sep-13,6,6,8,4,7,8,5,7,4,9,8,7,93,83,97,65,93,61,50,53,40,39,55,,15-Sep-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,40,42,39,38,41,42,40,41,41,60,4,11,14,51,13,53,45,45,24
PERFPRG0011,Performance Programs Resident Select,44%,HB902587,Howard,Executive,Male,15-Sep-13,14,2,4,3,3,1,2,1,2,5,3,4,6,3,6,4,4,4,4,4,5,4,4,5,0,2,4,2,1,1,0,2,5,3,3,3,5,2,3,3,3,4,14,18,27,20,18,12,21,13,8,16,4,18,57,29,100,14,87,93,26,6,91,95,21,23,2,44,97,36,15-Sep-13,7,10,1,5,10,11,11,8,12,12,9,4,96,99,35,78,100,93,99,67,100,93,72,,15-Sep-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,48,57,53,36,49,40,51,41,53,60,31,88,89,41,49,44,89,45,93
PERFPRG0011,Performance Programs Resident Select,44%,HB902628,Irving,Executive,Male,12-Sep-13,10,2,1,2,3,2,2,0,2,5,2,2,3,2,2,4,3,2,1,2,3,2,4,5,1,3,3,4,2,2,2,1,4,2,1,1,4,2,3,2,2,3,10,14,16,12,15,17,14,10,8,10,6,11,38,21,4,6,16,44,7,27,46,69,21,5,7,3,32,6,14-Sep-13,10,9,7,8,8,7,11,8,10,8,9,7,99,97,95,97,97,47,99,67,98,24,72,,14-Sep-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,37,49,44,49,56,53,49,46,42,98,2,38,36,94,91,92,83,72,31
PERFPRG0011,Performance Programs Resident Select,33%,HB902633,Jane,Executive,Female,8-Sep-13,10,2,2,3,4,2,3,0,4,5,3,3,5,0,4,0,1,6,5,1,1,2,2,1,0,1,2,3,2,2,1,2,4,3,1,2,4,1,3,3,3,3,10,20,20,13,6,13,15,12,7,15,7,14,37,23,4,19,33,52,0,9,54,88,13,19,11,13,28,9,8-Sep-13,8,13,10,12,11,14,9,5,7,8,6,8,98,100,99,100,100,100,93,27,80,24,22,,8-Sep-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,27,39,56,29,58,52,58,42,37,6,0,5,98,10,98,91,100,51,9
